day,hour,minute,second,microsecond,baro pressure hpa,acc x,acc y,acc z,gryo x,gryo y,gryo z,humidity,temperature,Ox pressure(psi),Voltage,altitude(meters)
14,13,13,38,81821098,875.6222,9.677363,0.833182,-0.03352,-0.04024,0.017853,0.009859,15.88159,45.59358,4.711914,0.51178,1214.357
14,13,13,38,81821441,875.6385,9.677363,0.833182,-0.03352,-0.02345,0.015721,0.008793,15.87244,45.59358,3.857422,0.509644,1214.204
14,13,13,38,81821781,875.6309,9.662998,0.80924,-0.11492,-0.01252,0.019718,0.014389,15.87244,45.59358,4.345703,0.510864,1214.275
14,13,13,39,81822121,875.6815,9.662998,0.80924,-0.11492,-0.01732,0.020518,0.012524,15.87244,45.59358,4.345703,0.510864,1213.802
14,13,13,39,81822464,875.675,9.710882,0.828394,-0.0814,-0.02105,0.025847,0.007727,15.87244,45.59358,3.857422,0.509644,1213.863
14,13,13,39,81822804,875.6993,9.710882,0.828394,-0.0814,-0.02478,0.027712,0.010392,15.86481,45.59358,4.101562,0.510254,1213.636
14,13,13,40,81823144,875.6381,9.710882,0.828394,-0.0814,-0.01093,0.02638,0.017587,15.86481,45.59358,4.956055,0.51239,1214.209
14,13,13,40,81823487,875.6882,9.672575,0.861913,-0.06225,-0.01119,0.025047,0.01279,15.86481,45.61494,3.24707,0.508118,1213.739
14,13,13,40,81823827,875.5708,9.672575,0.861913,-0.06225,-0.01279,0.024248,0.009859,15.87091,45.57221,4.345703,0.510864,1214.838
14,13,13,41,81824167,875.6608,9.672575,0.861913,-0.06225,-0.00506,0.027179,0.00906,15.87244,45.59358,3.369141,0.508423,1213.995
14,13,13,41,81824507,875.6498,9.715671,0.790087,-0.13408,0.001865,0.026113,0.019718,15.88006,45.57221,4.833984,0.512085,1214.101
14,13,13,42,81824857,875.7963,9.715671,0.790087,-0.13408,0.001865,0.024515,0.00906,15.88159,45.61494,4.101562,0.510254,1212.727
14,13,13,42,81825197,875.6599,9.677363,0.785298,-0.02873,-0.00213,0.025047,0.009326,15.88159,45.61494,4.223633,0.510559,1214.006
14,13,13,42,81825537,875.6633,9.677363,0.785298,-0.02873,-0.01146,0.023449,0.009326,15.87091,45.57221,4.589844,0.511475,1213.974
14,13,13,43,81825880,875.585,9.677363,0.785298,-0.02873,0.00373,0.022916,0.006928,15.87396,45.61494,3.24707,0.508118,1214.706
14,13,13,43,81826220,875.6624,9.672575,0.828394,-0.05746,0.00826,0.024781,0.015988,15.86481,45.59358,4.467773,0.511169,1213.982
14,13,13,43,81826560,875.6754,9.672575,0.828394,-0.05746,0.004796,0.019452,0.009326,15.86481,45.59358,4.223633,0.510559,1213.86
14,13,13,44,81826903,875.6509,9.672575,0.828394,-0.05746,-0.01412,0.023982,0.013057,15.88159,45.59358,4.223633,0.510559,1214.088
14,13,13,44,81827287,875.6327,9.615114,0.818817,-0.03831,-0.01705,0.024515,0.017587,15.88922,45.57221,4.589844,0.511475,1214.259
14,13,13,44,81827627,875.6559,9.615114,0.818817,-0.03831,-0.00267,0.016787,0.009326,15.88159,45.59358,4.101562,0.510254,1214.04
14,13,13,45,81827967,875.6692,9.653421,0.818817,-0.11013,0.006928,0.023182,0.018919,15.88922,45.57221,4.711914,0.51178,1213.916
14,13,13,45,81828310,875.6938,9.653421,0.818817,-0.11013,-0.0024,0.018119,0.011458,15.88922,45.59358,3.735352,0.509338,1213.686
14,13,13,45,81828650,875.7551,9.653421,0.818817,-0.11013,-0.00187,0.020251,0.011991,15.88922,45.59358,4.345703,0.510864,1213.113
14,13,13,46,81828990,875.6925,9.672575,0.775721,-0.0431,-0.00933,0.022649,0.008793,15.89838,45.59358,4.223633,0.510559,1213.699
14,13,13,46,81829384,875.7302,9.672575,0.775721,-0.0431,-0.02665,0.023715,0.011991,15.89685,45.57221,3.857422,0.509644,1213.345
14,13,13,46,81829724,875.622,9.662998,0.823605,-0.09577,-0.01519,0.023449,0.009326,15.89685,45.57221,4.345703,0.510864,1214.36
14,13,13,47,81830064,875.6409,9.662998,0.823605,-0.09577,-0.01599,0.026646,0.011191,15.89838,45.59358,4.467773,0.511169,1214.183
14,13,13,47,81830407,875.5803,9.662998,0.823605,-0.09577,-0.00773,0.032508,0.016254,15.89685,45.57221,2.880859,0.507202,1214.751
14,13,13,47,81830747,875.6211,9.643845,0.756568,-0.15802,-0.01839,0.027179,0.010925,15.906,45.59358,3.613281,0.509033,1214.368
14,13,13,48,81831087,875.6494,9.643845,0.756568,-0.15802,-0.00826,0.025847,0.016787,15.906,45.59358,3.735352,0.509338,1214.104
14,13,13,48,81831427,875.5284,9.643845,0.756568,-0.15802,-0.00373,0.023982,0.010658,15.91516,45.59358,4.833984,0.512085,1215.237
14,13,13,48,81831770,875.6631,9.653421,0.785298,-0.05267,-0.00693,0.019452,0.014389,15.92432,45.59358,4.467773,0.511169,1213.974
14,13,13,49,81832110,875.7715,9.653421,0.785298,-0.05267,-0.01279,0.019985,0.006928,15.92432,45.61494,4.589844,0.511475,1212.959
